run_id,scenario,seed,duration_h,target,final_sev,ramp_min,onset_min,antecedent_dry_days,antecedent_precip_index,ramp_type,label_scheme,q_ref,obs_tau_depth,obs_tau_flow,n_rows,n_blk_cause,n_blk_obs_or,n_blk_obs_and,n_rain_obs_and,n_normal_obs_and,sensor_conduits,realism,parquet
s4_r013,S4,1302740408,168,G80F060_G80F040_l1,0.8834631394306065,480,856,14,2.5546014719182097,gradual,obs_and,0.0015347860616410764,0.012769166795076496,9.645402322456463e-05,10079,9168,9189,8057,26,1996,G80F030_G80F020_l1;G80F040_G80F030_l1;G80F060_G80F040_l1;G80F070_G80F060_l1;G80F080_G80F070_l1,"{""depth__node_G80F060"": {""snr_db"": 39.262811610165855, ""drift_frac"": 0.0063865036797955245, ""resolution"": 0.0040000000099999905, ""dropout_frac"": 0.008234943942851474}, ""flow__G80F040_G80F030_l1"": {""snr_db"": 23.72801103161673, ""drift_frac"": 0.023276947523943232, ""resolution"": 3.629799691715077e-05, ""dropout_frac"": 0.006250620101200516}, ""vel__G80F040_G80F030_l1"": {""snr_db"": 34.06335659048216, ""drift_frac"": 0.02021122097724272, ""resolution"": 3.4729133726294273e-06, ""dropout_frac"": 0.0072427820220259944}, ""ushear__G80F040_G80F030_l1"": {""snr_db"": 22.595813710754626, ""drift_frac"": 0.028638526926994493, ""resolution"": 2.480073046079486e-07, ""dropout_frac"": 0.008036511558686378}}",runs\s4_r013.parquet
s4_r014,S4,2084654370,168,G61F011_G61F010_l1,0.6221632279574869,720,1088,9,2.173022038368009,gradual,obs_and,0.0009361419053694024,0.23962820338653446,0.006898032069750433,10079,8875,8263,110,0,9969,G61F011_G61F010_l1;G61F012_G61F011_l1;G61F013_G61F012_l1;G61F030_G61F020_l1;G61F420_G61F011_l1;G61F430_G61F420_l1;G61F010_G60F61Y_l1,"{""depth__node_G61F011"": {""snr_db"": 31.618693943698965, ""drift_frac"": 0.005432555095920022, ""resolution"": 0.036695084220069465, ""dropout_frac"": 0.004861593412044846}, ""flow__G61F010_G60F61Y_l1"": {""snr_db"": 22.469068514496332, ""drift_frac"": 0.04239907144950161, ""resolution"": 0.0038624567503488484, ""dropout_frac"": 0.007044349637860899}, ""vel__G61F010_G60F61Y_l1"": {""snr_db"": 20.95447548632742, ""drift_frac"": 0.026431818588564433, ""resolution"": 1.0000000000000001e-11, ""dropout_frac"": 0.007639646790356186}, ""ushear__G61F010_G60F61Y_l1"": {""snr_db"": 34.67937697773755, ""drift_frac"": 0.033007518026118544, ""resolution"": 1.0000000000000001e-11, ""dropout_frac"": 0.005456890564540133}}",runs\s4_r014.parquet
s4_r015,S4,1566581935,144,G80F240_G80F230_l1,0.5681508387601306,240,725,11,10.576859181609224,gradual,obs_and,3.784476494136975e-06,0.06933687405895135,0.0002268417244844518,8639,7871,7865,1599,0,7040,G80F220_G80F210_l1;G80F230_G80F220_l1;G80F240_G80F230_l1,"{""depth__node_G80F240"": {""snr_db"": 35.07042447572587, ""drift_frac"": 0.02644214795402306, ""resolution"": 0.01980000001, ""dropout_frac"": 0.007061002430836902}, ""flow__G80F230_G80F220_l1"": {""snr_db"": 35.15495587927909, ""drift_frac"": 0.04946066697103519, ""resolution"": 0.0002542058524781806, ""dropout_frac"": 0.0090288227804144}, ""vel__G80F230_G80F220_l1"": {""snr_db"": 22.0700463970172, ""drift_frac"": 0.0020435683085287593, ""resolution"": 2.2717696608180793e-05, ""dropout_frac"": 0.005787706910522051}, ""ushear__G80F230_G80F220_l1"": {""snr_db"": 29.943985174749884, ""drift_frac"": 0.03963574587277134, ""resolution"": 1.538582935986365e-06, ""dropout_frac"": 0.0090288227804144}}",runs\s4_r015.parquet
s4_r016,S4,1357791199,168,G74F130_G72F120_l1,0.713960732454735,0,745,5,9.907353493807673,instant,obs_and,0.0011119678128964157,0.4650778212166047,0.005894625469340862,10079,9334,9120,1797,0,8282,G72F350_G72F340_l1;G73F000_G72F120_l1;G73F001_G73F000_l1;G73F007_G73F000_l1;G73F010_G73F000_l1;G74F130_G72F120_l1;G74F140_G74F130_l1;G74F150_G74F140_l1;G72F120_G72F110_l1,"{""depth__node_G74F130"": {""snr_db"": 26.26353430328391, ""drift_frac"": 0.024768383734519187, ""resolution"": 0.03539780806424519, ""dropout_frac"": 0.007044349637860899}, ""flow__G72F120_G72F110_l1"": {""snr_db"": 27.83682951043263, ""drift_frac"": 0.023897531810588974, ""resolution"": 0.0035037445534904354, ""dropout_frac"": 0.008929457287429308}, ""vel__G72F120_G72F110_l1"": {""snr_db"": 36.64625126577611, ""drift_frac"": 0.031586858307635794, ""resolution"": 0.00012773377664816277, ""dropout_frac"": 0.007639646790356186}, ""ushear__G72F120_G72F110_l1"": {""snr_db"": 24.615487870841854, ""drift_frac"": 0.023372849495933767, ""resolution"": 6.682662811272085e-06, ""dropout_frac"": 0.00744121440619109}}",runs\s4_r016.parquet
s4_r017,S4,1167425779,120,G80F230_G80F220_l1,0.7964066528746847,720,1339,3,5.139677662017544,gradual,obs_and,9.148811114933239e-05,0.26822684159568344,0.0002968452345974083,7199,5769,5760,1965,0,5234,G80F210_G80F190_l1;G80F220_G80F210_l1;G80F230_G80F220_l1;G80F240_G80F230_l1,"{""depth__node_G80F230"": {""snr_db"": 22.86944043836961, ""drift_frac"": 0.01284919415504386, ""resolution"": 0.01720000001, ""dropout_frac"": 0.004583969995832754}, ""flow__G80F220_G80F210_l1"": {""snr_db"": 25.80816300123091, ""drift_frac"": 0.011801072045119139, ""resolution"": 0.00020580936400405557, ""dropout_frac"": 0.010418113626892624}, ""vel__G80F220_G80F210_l1"": {""snr_db"": 32.15280102785108, ""drift_frac"": 0.015040343239435434, ""resolution"": 2.130082315853619e-05, ""dropout_frac"": 0.005556327267676066}, ""ushear__G80F220_G80F210_l1"": {""snr_db"": 20.11798188621414, ""drift_frac"": 0.028454186190416553, ""resolution"": 1.460295981914181e-06, ""dropout_frac"": 0.008195582719822198}}",runs\s4_r017.parquet
s4_r018,S4,1202413558,144,G73K570_G73F570_l1,0.26504189421115615,0,1211,13,15.251223572957073,instant,obs_and,0.0019485230268356194,0.06930971128714553,8.61498642781411e-05,8639,7428,7036,5575,0,3064,G73F560_G73F540_l1;G73F570_G73F560_l1;G73F580_G73F670_l1;G73F580_G73K570_l1;G73F590_G73F580_l1;G73F670_G73F660_l1;G73F671_G73F670_l1;G73F679_G73F670_l1;G73K570_G73F570_l1,"{""depth__node_G73K570"": {""snr_db"": 38.33809001320065, ""drift_frac"": 0.03812805893239268, ""resolution"": 0.04099745283792399, ""dropout_frac"": 0.010649380715360575}, ""flow__G73F570_G73F560_l1"": {""snr_db"": 34.56218293883973, ""drift_frac"": 0.005984698742441863, ""resolution"": 2.914278350826697e-05, ""dropout_frac"": 0.006482231739784698}, ""vel__G73F570_G73F560_l1"": {""snr_db"": 20.73758253471469, ""drift_frac"": 0.04764017923264204, ""resolution"": 3.3563252791660526e-06, ""dropout_frac"": 0.008450052089362194}, ""ushear__G73F570_G73F560_l1"": {""snr_db"": 26.74416852182541, ""drift_frac"": 0.018680885109369477, ""resolution"": 2.4846432028631894e-07, ""dropout_frac"": 0.0069452482926264615}}",runs\s4_r018.parquet
s4_r019,S4,2008052739,120,G74F130_G72F120_l1,0.5148626512014502,480,738,1,5.75828990627196,gradual,obs_and,0.0011115290270498363,0.5691054462025286,0.00219229588692102,7199,6367,5230,308,0,6891,G72F350_G72F340_l1;G73F000_G72F120_l1;G73F001_G73F000_l1;G73F007_G73F000_l1;G73F010_G73F000_l1;G74F130_G72F120_l1;G74F140_G74F130_l1;G74F150_G74F140_l1;G72F120_G72F110_l1,"{""depth__node_G74F130"": {""snr_db"": 21.241160777859477, ""drift_frac"": 0.014395724765679902, ""resolution"": 0.03539780806424519, ""dropout_frac"": 0.008890123628281706}, ""flow__G72F120_G72F110_l1"": {""snr_db"": 20.20190432217693, ""drift_frac"": 0.013716733790915848, ""resolution"": 0.0004941238894545528, ""dropout_frac"": 0.008612307264897902}, ""vel__G72F120_G72F110_l1"": {""snr_db"": 37.158817157256934, ""drift_frac"": 0.015423315633891916, ""resolution"": 3.7056177955492456e-05, ""dropout_frac"": 0.009167939991665508}, ""ushear__G72F120_G72F110_l1"": {""snr_db"": 33.442556473491805, ""drift_frac"": 0.01621705817457982, ""resolution"": 2.190115493860111e-06, ""dropout_frac"": 0.007362133629670788}}",runs\s4_r019.parquet
s4_r020,S4,595598246,144,G80F210_G80F190_l1,0.33692356125394785,720,1186,3,3.8760287890758893,gradual,obs_and,0.00034739886702605974,0.1330727700201544,0.0001713357335776525,8639,7239,7415,5076,0,3563,G80F180_G80F170_l1;G80F190_G80F180_l1;G80F210_G80F190_l1;G80F220_G80F210_l1;G80F230_G80F220_l1,"{""depth__node_G80F210"": {""snr_db"": 23.980746842296988, ""drift_frac"": 0.009690071972689724, ""resolution"": 0.012100000009999999, ""dropout_frac"": 0.009607593471466605}, ""flow__G80F190_G80F180_l1"": {""snr_db"": 27.985298581263358, ""drift_frac"": 0.015382889388030507, ""resolution"": 0.0001315681894214921, ""dropout_frac"": 0.008450052089362194}, ""vel__G80F190_G80F180_l1"": {""snr_db"": 30.546875309698915, ""drift_frac"": 0.02636734474123181, ""resolution"": 1.4885871920100513e-05, ""dropout_frac"": 0.006134969325153374}, ""ushear__G80F190_G80F180_l1"": {""snr_db"": 25.53289957254474, ""drift_frac"": 0.030916983896149993, ""resolution"": 1.0210151343020533e-06, ""dropout_frac"": 0.005093182081259405}}",runs\s4_r020.parquet
s4_r021,S4,1752032166,168,G80F170_G80F160_l1,0.2565444100938449,0,993,6,2.7238823844888316,instant,obs_and,0.0008914788612659335,0.09779371484803517,0.0002638177151280444,10079,9086,9067,7303,0,2776,G80F140_G80F130_l1;G80F160_G80F140_l1;G80F170_G80F160_l1;G80F180_G80F170_l1;G80F190_G80F180_l1,"{""depth__node_G80F170"": {""snr_db"": 27.926554984227508, ""drift_frac"": 0.0068097059612220795, ""resolution"": 0.01650000001, ""dropout_frac"": 0.0072427820220259944}, ""flow__G80F160_G80F140_l1"": {""snr_db"": 20.44609979192871, ""drift_frac"": 0.03173267797377612, ""resolution"": 7.753543409066488e-05, ""dropout_frac"": 0.00744121440619109}, ""vel__G80F160_G80F140_l1"": {""snr_db"": 34.95031947147594, ""drift_frac"": 0.044630582627815954, ""resolution"": 9.115359632514701e-06, ""dropout_frac"": 0.0052584581803750375}, ""ushear__G80F160_G80F140_l1"": {""snr_db"": 34.14642916470045, ""drift_frac"": 0.007153900119604229, ""resolution"": 6.377466165498274e-07, ""dropout_frac"": 0.006449052485365612}}",runs\s4_r021.parquet
s4_r022,S4,1440696408,144,G80F120_G80F110_l1,0.358816195705161,240,820,3,19.30808320938701,gradual,obs_and,0.001119574295132635,0.26687273401847056,5.511210913544582e-05,8639,7752,7798,6977,0,1662,G80F090_G80F080_l1;G80F110_G80F090_l1;G80F120_G80F110_l1;G80F130_G80F120_l1;G80F140_G80F130_l1,"{""depth__node_G80F120"": {""snr_db"": 23.33255325169376, ""drift_frac"": 0.04827020802346753, ""resolution"": 0.01590000001, ""dropout_frac"": 0.010533626577150132}, ""flow__G80F110_G80F090_l1"": {""snr_db"": 39.544169367349326, ""drift_frac"": 0.047392804697336956, ""resolution"": 5.4850080888084925e-05, ""dropout_frac"": 0.008218543812941313}, ""vel__G80F110_G80F090_l1"": {""snr_db"": 38.40083195762274, ""drift_frac"": 0.02702895836743287, ""resolution"": 5.609104003665797e-06, ""dropout_frac"": 0.007176756569047343}, ""ushear__G80F110_G80F090_l1"": {""snr_db"": 23.691490190835466, ""drift_frac"": 0.031156499153676367, ""resolution"": 3.9406475322196176e-07, ""dropout_frac"": 0.007755527260099549}}",runs\s4_r022.parquet
